,peak_id,peak_name,peak_alternative_name,height_metres,climbing_status,first_ascent_year,first_ascent_country,first_ascent_expedition_id,location,region,latitude,longitude
54,GAND,Gandharva Chuli,"Gandharbha, Gabelhorn Peak",6248,Climbed,2013.0,Romania,GAND13101,Annapurna,Annapurna-Damodar-Peri,,
55,GANG,Gangapurna,Unknown,7455,Climbed,1965.0,"W Germany, Nepal",GANG65101,Annapurna,Annapurna-Damodar-Peri,28.605655,83.9635144
56,GAUR,Gaurishankar,Jomo Tseringma,7135,Climbed,1979.0,"US, Nepal",GAUR79101,Rolwaling,Khumbu-Rolwaling-Makalu,27.8111769,86.3219800782287
57,GHUN,Ghustang North,Unknown,6529,Climbed,1962.0,"UK, Nepal",GHUN62301,Dhaulagiri,Dhaulagiri-Mukut,,
58,GHUS,Ghustang South,"Gurja West, Paschim Himal",6465,Climbed,2019.0,"France, Canada, Switzerland, Nepal",GHUS18301,Dhaulagiri,Dhaulagiri-Mukut,,
59,MATA,Matathumba,"Matatumpa, Ghyuthumba East",5767,Climbed,1961.0,"UK, Nepal",MATA61101,Kanjiroba,Far West-Kanjiroba,,
60,GHYM,Ghyuthumba Main,"Gutumpa, Pasang Peak",5806,Climbed,1953.0,"Austria, Nepal, India",GHYM53301,Kanjiroba,Far West-Kanjiroba,,
61,GIME,Gimmigela Chuli East,Twins,7007,Climbed,1993.0,"Japan, Nepal",GIME93301,Kangchenjunga/Simhalila,Kangchenjunga-Janak,,
62,GIMM,Gimmigela Chuli,Twins,7350,Climbed,1994.0,"Japan, Nepal",GIMM94301,Kangchenjunga/Simhalila,Kangchenjunga-Janak,,
63,GLAC,Glacier Dome,"Tarke Kang, Tarke Khang",7168,Climbed,1964.0,"Japan, Nepal",GLAC64301,Annapurna,Annapurna-Damodar-Peri,50.437744,-116.6197945
64,GURJ,Gurja Himal,Unknown,7193,Climbed,1969.0,"Japan, Nepal",GURJ69301,Dhaulagiri,Dhaulagiri-Mukut,28.6741019,83.275664
65,GURK,Gurkarpo Ri,Unknown,6889,Climbed,2007.0,France,GURK07301,Jugal,Langtang-Jugal,28.2117364,85.7736263
66,GYAC,Gyachung Kang,Unknown,7861,Climbed,1964.0,"Japan, Nepal",GYAC64101,Khumbu,Khumbu-Rolwaling-Makalu,28.0980314,86.7448435
67,GYAJ,Gyajikang,Gyaji Khang,7074,Climbed,1994.0,"Japan, Nepal",GYAJ94301,Peri,Annapurna-Damodar-Peri,,
68,LEOE,Leonpo Gang East,Gyalgen Peak,6733,Climbed,1955.0,"UK, Nepal",LEOE55101,Jugal,Langtang-Jugal,,
69,HIME,Himalchuli East,Himalchuli Main,7893,Climbed,1960.0,Japan,HIME60101,Manaslu/Mansiri,Manaslu-Ganesh,,
70,HIML,Himlung Himal,Unknown,7126,Climbed,1992.0,"Japan, Nepal",HIML92301,Peri,Annapurna-Damodar-Peri,,
71,HIMN,Himalchuli North,Unknown,7331,Climbed,1985.0,"S Korea, Nepal",HIMN85302,Manaslu/Mansiri,Manaslu-Ganesh,,
72,RANI,Rani Peak,"Lidanda Peak, Himalchuli Northeast",6693,Climbed,1970.0,"Netherlands, Nepal",RANI70101,Manaslu/Mansiri,Manaslu-Ganesh,28.4614539,84.6869382
73,HIMW,Himalchuli West,Unknown,7540,Climbed,1978.0,Japan,HIMW78101,Manaslu/Mansiri,Manaslu-Ganesh,,
74,HIUP,Hiunchuli,Patal Hiunchuli,6434,Climbed,1971.0,USA,HIUP71301,Annapurna,Annapurna-Damodar-Peri,28.51,83.85
75,HNKU,Hongku Chuli,"Hunku Chuli, Pyramid Peak",6833,Unclimbed,,Unknown,Unknown,Khumbu,Khumbu-Rolwaling-Makalu,,
76,HONG,Hongde,"Hangde, Hongde Himal",6556,Climbed,1962.0,"Japan, Nepal",HONG62101,Mukut/Mustang,Dhaulagiri-Mukut,28.843187,83.4967752
77,IMJA,Imjatse,Island Peak,6165,Climbed,1956.0,"Switzerland, Nepal",IMJA56101,Khumbu,Khumbu-Rolwaling-Makalu,,
78,JAGD,Jagdula,Unknown,5761,Climbed,2013.0,France,JAGD13101,Kanjiroba,Far West-Kanjiroba,29.1860884,82.646386
79,JANU,Jannu,Khumbhakarna,7711,Climbed,1962.0,"France, Nepal",JANU62101,Kangchenjunga/Simhalila,Kangchenjunga-Janak,31.0911756,77.3378327
80,JETH,Jethi Bahurani,"Jettiborani, Jutibofurani",6850,Climbed,1978.0,Japan,JETH78101,Api/Byas Risi/Guras,Far West-Kanjiroba,29.8815211,81.0407652
81,JONG,Jongsang,"Jonsong, Jhinsang",7462,Climbed,1930.0,"Germany, Austria",JONG30101,Jongsang,Kangchenjunga-Janak,27.8663317,88.1663672
82,JUNC,Junction Peak,Unknown,7133,Unclimbed,,Unknown,Unknown,Dhaulagiri,Dhaulagiri-Mukut,-33.9738344,18.4158782
83,KABD,Kabru Dome,Unknown,6600,Climbed,1982.0,India,KABD82301,Kangchenjunga/Simhalila,Kangchenjunga-Janak,27.5887155,88.1318742
84,KABN,Kabru North,Unknown,7338,Climbed,1935.0,UK,KABN35301,Kangchenjunga/Simhalila,Kangchenjunga-Janak,,
85,KAG1,Kagmara I,Unknown,5978,Climbed,1962.0,"UK, Nepal",KAG162101,Kanjiroba,Far West-Kanjiroba,24.2648308,89.8930174
86,KAN1,Kande Hiunchuli North  I,Unknown,6521,Unclimbed,,Unknown,Unknown,Kanjiroba,Far West-Kanjiroba,,
87,KAN2,Kande Hiunchuli North  II,Unknown,6471,Climbed,1980.0,Switzerland,KAN280101,Kanjiroba,Far West-Kanjiroba,,
88,KANB,Kangbachen,Kambachen,7902,Climbed,1974.0,Poland,KANB74101,Kangchenjunga/Simhalila,Kangchenjunga-Janak,27.7146981,88.1084155
89,KANC,Kangchenjunga Central,Unknown,8473,Climbed,1978.0,Poland,KANC78102,Kangchenjunga/Simhalila,Kangchenjunga-Janak,,
90,KAND,Kande Hiunchuli,Unknown,6627,Climbed,1972.0,Japan,KAND72301,Kanjiroba,Far West-Kanjiroba,,
91,KANG,Kangchenjunga,Unknown,8586,Climbed,1955.0,UK,KANG55101,Kangchenjunga/Simhalila,Kangchenjunga-Janak,27.701126,88.1483381
92,KANS,Kangchenjunga South,Unknown,8476,Climbed,1978.0,Poland,KANS78101,Kangchenjunga/Simhalila,Kangchenjunga-Janak,,
93,KARY,Karyolung,Unknown,6530,Climbed,1982.0,"Japan, Nepal",KARY82301,Rolwaling,Khumbu-Rolwaling-Makalu,27.7334712,86.6118443
94,KCHN,Kangchung Nup,"Khangchung Nup, Kangcho Nup, Cholo",6043,Climbed,1953.0,"UK, New Zealand",KCHN53101,Khumbu,Khumbu-Rolwaling-Makalu,,
95,NAYA,Naya Kanga,"Kangja Chuli, Ghanja La Chuli",5863,Climbed,,Unknown,Unknown,Jugal,Langtang-Jugal,28.168624,85.5483906
96,KGUR,Kang Guru,Naurgaon,6981,Climbed,1955.0,W Germany,KGUR55201,Peri,Annapurna-Damodar-Peri,22.340498099999998,114.20539679999999
97,KHAT,Khatang,Unknown,6790,Climbed,1982.0,"Japan, Nepal",KHAT82301,Rolwaling,Khumbu-Rolwaling-Makalu,27.7576495,86.5953226
98,KHON,Khongma Tse,Mehra Peak,5798,Climbed,,Unknown,Unknown,Khumbu,Khumbu-Rolwaling-Makalu,,
99,KJER,Kanjeralwa,Kanchen Ruwa,6612,Climbed,1973.0,"Japan, Nepal",KJER73101,Kanjiroba,Far West-Kanjiroba,29.2371829,82.7897262
100,KJRN,Kanjiroba North,Unknown,6858,Unclimbed,,Unknown,Unknown,Kanjiroba,Far West-Kanjiroba,,
101,KJRS,Kanjiroba South,Unknown,6883,Climbed,1970.0,Japan,KJRS70301,Kanjiroba,Far West-Kanjiroba,29.3759672,82.6378812
102,KOTA,Kotang,"Kokthang, Kothang Kang",6148,Climbed,1982.0,Inida,KOTA82301,Kangchenjunga/Simhalila,Kangchenjunga-Janak,31.854285,77.0166992
103,KTEG,Kangtega,"Kantega, Khangtega, Kang Taiga",6783,Climbed,1963.0,"New Zealand, USA",KTEG63101,Khumbu,Khumbu-Rolwaling-Makalu,27.7914881,86.8174422
104,KTSU,Kangtsune,"Kangchunne, Kanchauni Lekh",6444,Unclimbed,,Unknown,Unknown,Kanjiroba,Far West-Kanjiroba,,
105,KUSU,Kusum Kanguru,"Kusum Kang, Lamu",6370,Climbed,1981.0,New Zealand,KUSU81302,Khumbu,Khumbu-Rolwaling-Makalu,,
106,KWAN,Kwangde,Unknown,6186,Climbed,1978.0,Japan,KWAN78301,Rolwaling,Khumbu-Rolwaling-Makalu,27.6139809,86.7148073
107,LAMJ,Lamjung Himal,Unknown,6983,Climbed,1974.0,UK,LAMJ74101,Annapurna,Annapurna-Damodar-Peri,28.4895076,84.1886093
108,LANG,Langtang Lirung,Langtang,7227,Climbed,1978.0,"Japan, Nepal",LANG78301,Langtang,Langtang-Jugal,28.256616,85.5168032
109,LANR,Langtang Ri,Unknown,7205,Climbed,1981.0,"Japan, Nepal",LANR81301,Langtang,Langtang-Jugal,28.3823961,85.6839464
110,LEON,Leonpo Gang,"Dorje Pahad, Big White Peak",6979,Climbed,1962.0,Japan,LEON62101,Jugal,Langtang-Jugal,28.1964383,85.8001908
111,LHAS,Lha Shamma,"Lhasharma, Pinnacle Peak",6412,Climbed,1962.0,"UK, Nepal",LHAS62101,Kanjiroba,Far West-Kanjiroba,,
112,LHOT,Lhotse,Unknown,8516,Climbed,1956.0,Switzerland,LHOT56101,Khumbu,Khumbu-Rolwaling-Makalu,27.9619855,86.9325045
113,MUKT,Mukut Himal,"Mukot Himal, Langru",6087,Climbed,1967.0,Netherlands,MUKT67301,Mukut/Mustang,Dhaulagiri-Mukut,28.7797894,83.4607345
114,LNPO,Langpo,Longpo,6965,Climbed,1909.0,UK,LNPO09301,Jongsang,Kangchenjunga-Janak,24.6421,105.534
115,LOBE,Lobuje East,Lobuche East,6090,Climbed,1984.0,"USA, Nepal",LOBE84101,Khumbu,Khumbu-Rolwaling-Makalu,,
116,LOBW,Lobuje West,Lobuche West,6135,Climbed,1984.0,Japan,LOBW84301,Khumbu,Khumbu-Rolwaling-Makalu,,
117,LSHR,Lhotse Shar,Lhotse II,8382,Climbed,1970.0,Austria,LSHR70101,Khumbu,Khumbu-Rolwaling-Makalu,27.9587526,86.943763
118,LSIS,Langshisa Ri,Langsisa Ri,6412,Climbed,1982.0,"Japan, Nepal",LSIS82101,Jugal,Langtang-Jugal,28.2177782,85.714613
119,MACH,Machhapuchhare,Unknown,6993,Unclimbed,,Unknown,Unknown,Annapurna,Annapurna-Damodar-Peri,28.52665,83.907562
120,BTAK,Bhairab Takura,Madiya,6799,Climbed,1960.0,"Japan, Nepal",BTAK60101,Jugal,Langtang-Jugal,,
121,MAK2,Makalu II,Kangchungtse,7678,Climbed,1954.0,"UK, Nepal",MAK254301,Makalu,Khumbu-Rolwaling-Makalu,27.9140173,87.0798576
122,MAKA,Makalu,Unknown,8485,Climbed,1955.0,France,MAKA55101,Makalu,Khumbu-Rolwaling-Makalu,27.8914385,87.0884403
123,MANA,Manaslu,"Kutang I, Peak 30",8163,Climbed,1956.0,"Japan, Nepal",MANA56101,Manaslu/Mansiri,Manaslu-Ganesh,28.5499829,84.5597284
124,MANN,Manaslu North,Manaslu II,6994,Climbed,1964.0,"Netherlands, Austria, Nepal",MANN64301,Manaslu/Mansiri,Manaslu-Ganesh,28.5839234,84.5491371
125,MANP,Manapathi,Unknown,6380,Climbed,1956.0,"Argentina, Nepal",MANP56101,Dhaulagiri,Dhaulagiri-Mukut,28.6476087,83.4553484
126,MARD,Mardi Himal,Unknown,5553,Climbed,1962.0,"UK, Nepal",MARD62101,Annapurna,Annapurna-Damodar-Peri,28.4737691,83.9275346
127,MERA,Mera Peak,"""False"" Mera Peak",6470,Climbed,1953.0,"UK, Nepal",MERA53101,Khumbu,Khumbu-Rolwaling-Makalu,27.7098398,86.8686622
128,MING,Mingbo Ri,Unknown,6207,Unclimbed,,Unknown,Unknown,Khumbu,Khumbu-Rolwaling-Makalu,,
129,NALA,Nalakankar North,Unknown,6062,Climbed,2000.0,"Japan, Nepal",NALA00201,Nalakankar/Chandi/Changla,Far West-Kanjiroba,,
130,NAMP,Nampa,Chisel Peak,6729,Climbed,1972.0,Japan,NAMP72101,Api/Byas Risi/Guras,Far West-Kanjiroba,43.5737361,-116.559631
131,NCHU,Nupchu,Sharphu IV,6172,Climbed,1962.0,Japan,SPH462101,Janak/Ohmi Kangri,Kangchenjunga-Janak,,
132,NEMJ,Nemjung,Unknown,7140,Climbed,1983.0,"Japan, Nepal",NEMJ83301,Peri,Annapurna-Damodar-Peri,,
133,NEPA,Nepal Peak,Unknown,7177,Climbed,1930.0,Austria,NEPA30101,Jongsang,Kangchenjunga-Janak,-79.717551,159.597564
134,NGO2,Ngojumba Kang II,Unknown,7743,Climbed,1965.0,"Japan, Nepal",NGO265101,Khumbu,Khumbu-Rolwaling-Makalu,28.1056007,86.7054963
135,NGOJ,Ngojumba Kang I,"Ngozumba Kang, Ngozumba Ri, Tenzing Peak",7916,Climbed,1982.0,"S Korea, Nepal",NGOJ82302,Khumbu,Khumbu-Rolwaling-Makalu,28.1066525,86.6848764
136,NILC,Nilgiri Central,Unknown,6940,Climbed,1979.0,Japan,NILC79101,Annapurna,Annapurna-Damodar-Peri,28.6783794,83.7353837
137,NILN,Nilgiri North,Unknown,7061,Climbed,1962.0,"Netherlands, France, Nepal",NILN62301,Annapurna,Annapurna-Damodar-Peri,28.689076,83.7440554
138,NILS,Nilgiri South,Unknown,6839,Climbed,1978.0,Japan,NILS78301,Annapurna,Annapurna-Damodar-Peri,28.6541082,83.7296456
139,NUMB,Numbur,Unknown,6958,Climbed,1963.0,"Japan, Nepal",NUMB63101,Rolwaling,Khumbu-Rolwaling-Makalu,27.7542227,86.572647
140,NUPT,Nuptse,Unknown,7864,Climbed,1961.0,"UK, Nepal",NUPT61101,Khumbu,Khumbu-Rolwaling-Makalu,27.9673711,86.886963
141,OHMI,Ohmi Kangri,Unknown,6839,Climbed,1985.0,Switzerland,OHMI85101,Janak/Ohmi Kangri,Kangchenjunga-Janak,,
142,OMBK,Ombak Himal,Unknown,6300,Unclimbed,,Unknown,Unknown,Janak/Ohmi Kangri,Kangchenjunga-Janak,,
143,PALD,Paldor,Bharange,5903,Climbed,1949.0,"UK, Nepal",PALD49201,Ganesh/Shringi,Manaslu-Ganesh,28.277378,85.1871814
144,PANG,Pangbuk Ri,Unknown,6625,Climbed,2011.0,USA,PANG11301,Rolwaling,Khumbu-Rolwaling-Makalu,,
145,PARC,Parchamo,"Parchermo, Parchemuche, Pachermo",6279,Climbed,1955.0,UK,PARC55101,Rolwaling,Khumbu-Rolwaling-Makalu,27.8377252,86.5472278
146,PATR,Patrasi Himal,Kande Hiunchuli North,6450,Unclimbed,,Unknown,Unknown,Kanjiroba,Far West-Kanjiroba,,
147,PETH,Pethangtse,Unknown,6739,Climbed,1954.0,"New Zealand, Nepal",PETH54101,Khumbu,Khumbu-Rolwaling-Makalu,27.957236,87.0152042
148,PHUR,Phurbi Chhyachu,Phurbi Ghyachu,6637,Climbed,1982.0,"Japan, Nepal",PHUR82101,Jugal,Langtang-Jugal,28.1260087,85.8674922
149,PIMU,Pimu,Pamalka,6344,Climbed,1955.0,UK,PIMU55101,Rolwaling,Khumbu-Rolwaling-Makalu,1.83870975,21.1110836823298
150,PISA,Pisang,Jong Ri,6091,Climbed,1955.0,W Germany,PISA55201,Damodar,Annapurna-Damodar-Peri,3.9610848,107.9790697
151,PK29,Peak 29,"Ngadi Chuli, Dakura, Dr Harka Gurung Chuli",7871,Climbed,1979.0,Poland,PK2979101,Manaslu/Mansiri,Manaslu-Ganesh,50.527611,15.111972
152,POIN,Pointed Peak,Unknown,5850,Climbed,1953.0,UK,POIN53101,Khumbu,Khumbu-Rolwaling-Makalu,14.8586758,120.1267431
153,POKA,Pokalde,Unknown,5780,Climbed,1953.0,UK,POKA53101,Khumbu,Khumbu-Rolwaling-Makalu,27.9247682,86.8331902
154,OMBG,Ombigaichen,Puma Dablam,6340,Climbed,1960.0,"New Zealand, Nepal",OMBG60301,Khumbu,Khumbu-Rolwaling-Makalu,27.8530782,86.882962
155,PUMO,Pumori,Unknown,7138,Climbed,1962.0,"W Germany, Switzerland",PUMO62101,Khumbu,Khumbu-Rolwaling-Makalu,27.7823,85.35820335
156,PUTH,Putha Hiunchuli,Dhaulagiri VII,7246,Climbed,1954.0,"UK, Nepal",PUTH54301,Dhaulagiri,Dhaulagiri-Mukut,28.7482046,83.1462685
157,PYRM,Pyramid Peak,"Pathibhara Chuli, Pathibhara Khas",7140,Climbed,1993.0,"Japan, India",PYRM93101,Jongsang,Kangchenjunga-Janak,39.0716572,-106.950112
158,RAKS,Raksha Urai,Raksha Urai III,6609,Climbed,2003.0,"France, Nepal",RAKS03301,Api/Byas Risi/Guras,Far West-Kanjiroba,30.005832,81.127285
159,RAMD,Ramdung,Ramdong Go,5900,Climbed,1952.0,"UK, Nepal",RAMD52301,Rolwaling,Khumbu-Rolwaling-Makalu,30.7033295,77.7586234
160,RATH,Rathong,Unknown,6682,Climbed,1964.0,India,RATH64301,Kangchenjunga/Simhalila,Kangchenjunga-Janak,27.5946131,88.0897953
161,ROCN,Roc Noir,"Khangsar Kang, Khang Sar Khang",7485,Climbed,1969.0,W Germany,ROCN69101,Annapurna,Annapurna-Damodar-Peri,43.6123408,2.9560569
162,ROKA,Rokapi,Kapchuli,6468,Climbed,1977.0,UK,ROKA77301,Api/Byas Risi/Guras,Far West-Kanjiroba,,
163,SAIE,Saipal East Humla,Unknown,6925,Climbed,1990.0,"Switzerland, Nepal",SAIP90301,Saipal,Far West-Kanjiroba,,
164,SAIP,Saipal,Unknown,7030,Climbed,1963.0,"Japan, Nepal",SAIP63301,Saipal,Far West-Kanjiroba,29.9646004,81.2207302
165,SHAR,Shartse,"Peak 38, Shanti Shikhar",7591,Unclimbed,,Unknown,Unknown,Khumbu,Khumbu-Rolwaling-Makalu,27.955629,86.9651422
166,SHA2,Shartse II,Junction Peak,7457,Climbed,1974.0,"Austria, W Germany",SHA274101,Khumbu,Khumbu-Rolwaling-Makalu,27.9496738,86.9833813
167,SHEY,Shey Shikhar,Junction Peak,6139,Climbed,2007.0,Japan,SHEY07201,Kanjiroba,Far West-Kanjiroba,,
168,SING,Singu Chuli,Fluted Peak,6501,Climbed,1957.0,UK,SING57101,Annapurna,Annapurna-Damodar-Peri,,
169,SISN,Sisne Himal,Hiunchuli Patan,5911,Climbed,2013.0,"Nepal, USA",SISN13101,Kanjiroba,Far West-Kanjiroba,,
170,SITA,Sita Chuchura,Unknown,6611,Climbed,1970.0,"Japan, Nepal",SITA70301,Mukut/Mustang,Dhaulagiri-Mukut,28.782078,83.4838316
171,SNOW,Snow Peak,Unknown,6530,Unclimbed,,Unknown,Unknown,Dhaulagiri,Dhaulagiri-Mukut,33.2036756,-108.9395078
172,SPHN,Sphinx,"Pathibhara Phurba, Pathibhara East",6825,Climbed,1936.0,UK,SPHN36101,Jongsang,Kangchenjunga-Janak,29.97528105,31.13751236590909
173,SPH1,Sharphu I,Tanga I,6433,Climbed,1963.0,Japan,SPH163301,Janak/Ohmi Kangri,Kangchenjunga-Janak,,
174,SURM,Surma-Sarovar North,Unknown,6564,Unclimbed,,Unknown,Unknown,Api/Byas Risi/Guras,Far West-Kanjiroba,,
175,TAWO,Tawoche,Taboche,6495,Climbed,1974.0,France,TAWO74101,Khumbu,Khumbu-Rolwaling-Makalu,27.8973138,86.7793702
176,KIRA,Kirat Chuli,Tent Peak,7362,Climbed,1939.0,"Switzerland, Germany",KIRA39101,Jongsang,Kangchenjunga-Janak,27.7914626,88.1971372
177,THAM,Thamserku,Tramserku,6618,Climbed,1964.0,New Zealand,THAM64301,Khumbu,Khumbu-Rolwaling-Makalu,27.7899732,86.7852106
178,THAR,Tharpu Chuli,Tent Peak,5695,Climbed,1964.0,Japan,THAR64301,Annapurna,Annapurna-Damodar-Peri,,
179,TILI,Tilicho,Tilitso,7134,Climbed,1978.0,France,TILI78301,Annapurna,Annapurna-Damodar-Peri,60.2625935,24.8537182
180,TLNG,Talung,Unknown,7349,Climbed,1964.0,"W Germany, Nepal",TLNG64101,Kangchenjunga/Simhalila,Kangchenjunga-Janak,27.6548025,88.1301939
181,TONG,Tongu,Unknown,6187,Climbed,1959.0,USA,TONG59301,Mukut/Mustang,Dhaulagiri-Mukut,28.8714693,83.5033761
182,TRIP,Tripura Hiunchuli,"Tripura Thumba, Hanging Glacier Peak",6553,Climbed,1986.0,"Japan, Nepal",TRIP86301,Kanjiroba,Far West-Kanjiroba,,
183,TSOK,Tso Karpo Kang,Tso Karpo Khang,6556,Climbed,1971.0,Japan,TSOK71301,Kanjiroba,Far West-Kanjiroba,,
184,TUKU,Tukuche,Unknown,6920,Climbed,1970.0,Japan,TUKU70101,Dhaulagiri,Dhaulagiri-Mukut,28.7108973,83.6452283
185,URKM,Urkinmang,Buddha,6143,Climbed,1964.0,"Japan, Nepal",URKM64101,Jugal,Langtang-Jugal,,
186,ANID,Anidesh Chuli,White Wave Peak,6808,Unclimbed,,Unknown,Unknown,Kangchenjunga/Simhalila,Kangchenjunga-Janak,,
187,TSUR,Tsaurabong Peak,"Chara Ban Peak, White Peak",6395,Climbed,1974.0,"Japan, Nepal",TSUR74101,Dhaulagiri,Dhaulagiri-Mukut,28.6891711,83.379961
188,YALU,Yalung Kang,Yalungkar,8505,Climbed,1973.0,Japan,YALU73101,Kangchenjunga/Simhalila,Kangchenjunga-Janak,27.7051678,88.1377837
189,PASA,Pasang Lhamu Chuli,Jasemba,7350,Climbed,1986.0,Japan,PASA86301,Khumbu,Khumbu-Rolwaling-Makalu,28.0730974,86.6126597
190,RATC,Ratna Chuli,Unknown,7035,Climbed,1996.0,"Japan, Nepal",RATC96301,Peri,Annapurna-Damodar-Peri,28.8649802,84.375236
191,KANT,Kanti Himal,"Ronglai Kangri, Kaqur Kangri, Kubi Grangri",6850,Climbed,2002.0,"Japan, Nepal",KANT02301,Kanti/Palchung,Far West-Kanjiroba,29.75565275,82.69869791991958
192,RAMT,Ramtang,Unknown,6601,Climbed,1930.0,"Austria, UK",RAMT30101,Kangchenjunga/Simhalila,Kangchenjunga-Janak,27.7367593,87.9730815
193,LING,Lingtren,Unknown,6713,Climbed,1935.0,UK,LING35201,Khumbu,Khumbu-Rolwaling-Makalu,28.0348067,86.8082299
194,TENG,Tengkoma,Tang Kongma,6215,Climbed,1949.0,"Switzerland, Nepal",TENG49101,Jongsang,Kangchenjunga-Janak,,
195,RAMC,Ramtang Chang,"Wedge Peak, Chang Himal",6802,Climbed,1974.0,Yugoslavia,RAMC74301,Kangchenjunga/Simhalila,Kangchenjunga-Janak,,
196,CHRE,Churen Himal East,Unknown,7371,Climbed,1970.0,"S Korea, Nepal",CHRE70101,Dhaulagiri,Dhaulagiri-Mukut,,
197,CHRW,Churen Himal West,Unknown,7371,Climbed,1970.0,"Japan, Nepal",CHRW70301,Dhaulagiri,Dhaulagiri-Mukut,,
198,CHRI,Chhukung Ri,Unknown,5550,Climbed,1965.0,Netherlands,CHRI65101,Khumbu,Khumbu-Rolwaling-Makalu,,
199,KTOK,Kangtokal,Khang Tokal,6294,Climbed,1962.0,"Japan, Nepal",KTOK62101,Dhaulagiri,Dhaulagiri-Mukut,,
200,SRKU,Serku Dolma,Unknown,6227,Climbed,1973.0,"Japan, Nepal",SRKU73301,Kanjiroba,Far West-Kanjiroba,,
201,NALS,Nalakankar South,Unknown,6024,Climbed,2000.0,"Japan, Nepal",NALS00201,Nalakankar/Chandi/Changla,Far West-Kanjiroba,,
202,CHWT,Changwathang,Unknown,6130,Climbed,2000.0,"Japan, Nepal",CHWT00201,Nalakankar/Chandi/Changla,Far West-Kanjiroba,,
203,TAKP,Takphu Himal,Unknown,6395,Climbed,2018.0,"UK, Germany",TAKP18301,Nalakankar/Chandi/Changla,Far West-Kanjiroba,,
204,MALA,Malanphulan,"Melanphulan, Hinku Ri",6573,Climbed,2000.0,USA,MALA00101,Khumbu,Khumbu-Rolwaling-Makalu,27.8081592,86.8658469
205,LHOM,Lhotse Middle,Lhotse Intermediate,8410,Climbed,2001.0,Russia,LHOM01101,Khumbu,Khumbu-Rolwaling-Makalu,27.9599193,86.9399794
206,SIMN,Simnang Himal,"P2, Simnang Himal East",6251,Climbed,2001.0,Ukraine,SIMN01101,Manaslu/Mansiri,Manaslu-Ganesh,,
207,HCHI,Hungchhi,"Hunchhi, Chakung, Gyubanare Kang, Gyuba Tshomotse",7029,Climbed,2003.0,"Japan, Nepal",HCHI03102,Khumbu,Khumbu-Rolwaling-Makalu,,
208,LAMP,Lampo,"Langpo Kangri, Ganesh VI",6648,Unclimbed,,Unknown,Unknown,Ganesh/Shringi,Manaslu-Ganesh,47.5259583,12.7391985
209,CHUK,Chhukung Tse,Chhukung Chuli,5833,Climbed,1953.0,"UK, Nepal",CHUK53101,Khumbu,Khumbu-Rolwaling-Makalu,,
210,DZAN,Dzanye,Dzanaye,6581,Climbed,1949.0,Switzerland,DZAN49101,Janak/Ohmi Kangri,Kangchenjunga-Janak,,
211,GAUG,Gaugiri,Unknown,6110,Climbed,2002.0,USA,GAUG02101,Damodar,Annapurna-Damodar-Peri,29.0458971,84.1879231
212,TKPO,Tengkangpoche,Thyangmoche,6482,Climbed,1984.0,"UK, USA",TKPO84301,Rolwaling,Khumbu-Rolwaling-Makalu,27.8041816,86.5953665
213,ARNK,Arniko Chuli,Araniko Chuli,6034,Climbed,2002.0,"Japan, Nepal",ARNK02201,Mukut/Mustang,Dhaulagiri-Mukut,,
214,SARI,Saribung,Selibung,6328,Climbed,2003.0,USA,SARI03301,Damodar,Annapurna-Damodar-Peri,28.885,84.1719123
215,GHEN,Ghenge Liru,"Ghenye Lirung, Langtang II",6596,Climbed,1963.0,"UK, Nepal",GHEN63101,Langtang,Langtang-Jugal,28.2477839,85.4711879
216,NAUL,Naulekh,Unknown,6340,Climbed,1954.0,New Zealand,NAUL54101,Khumbu,Khumbu-Rolwaling-Makalu,27.6875828,86.9024898
217,CHEK,Chekigo,Unknown,6121,Climbed,2005.0,"UK, Switzerland",CHEK05101,Rolwaling,Khumbu-Rolwaling-Makalu,,
218,KTUN,Khatung Khang,Unknown,6484,Climbed,1956.0,Switzerland,KTUN56101,Annapurna,Annapurna-Damodar-Peri,,
219,CHAG,Chago,Unknown,6893,Climbed,1954.0,"New Zealand, Nepal",CHAG54101,Makalu,Khumbu-Rolwaling-Makalu,27.9263224,87.054382
220,NUMR,Numri,Unknown,6635,Climbed,2002.0,Germany,NUMR02301,Khumbu,Khumbu-Rolwaling-Makalu,,
221,PK41,Peak 41,"""True"" Mera Peak",6648,Climbed,2002.0,Slovenia,PK4102301,Khumbu,Khumbu-Rolwaling-Makalu,27.7743642,86.9080353
222,KYAZ,Kyazo Ri,Kyajo Ri,6151,Climbed,2002.0,"UK, France",KYAZ02301,Khumbu,Khumbu-Rolwaling-Makalu,,
223,PAND,Pandra,Unknown,6670,Climbed,2002.0,Denmark,PAND02301,Janak/Ohmi Kangri,Kangchenjunga-Janak,22.1202641,78.0381896
224,DANG,Danga,Unknown,6220,Climbed,2002.0,Denmark,DANG02301,Janak/Ohmi Kangri,Kangchenjunga-Janak,13.223166,14.932821
225,POKR,Pokharkang,Pokhar Khang,6372,Climbed,2002.0,"UK, Nepal",POKR02301,Damodar,Annapurna-Damodar-Peri,,
226,NAG1,Nangpai Gosum I,"Nagpai Gosum I, Cho Aui",7321,Climbed,2017.0,Germany,NAG117301,Khumbu,Khumbu-Rolwaling-Makalu,28.0730974,86.6126597
