,peak_id,peak_name,peak_alternative_name,height_metres,climbing_status,first_ascent_year,first_ascent_country,first_ascent_expedition_id,location,region,latitude,longitude
394,MARW,Mariyang West,Unknown,6455,Unclimbed,,Unknown,Unknown,Kanti/Palchung,Far West-Kanjiroba,,
395,MAYT,Mayonthang Kang,Mayun Thang Khang,6449,Unclimbed,,Unknown,Unknown,Kanti/Palchung,Far West-Kanjiroba,,
396,LNJU,Langju,Lajo Dada,6426,Climbed,2017.0,Japan,LNJU17301,Ganesh/Shringi,Manaslu-Ganesh,32.33333,80.33333
397,JYAC,Jyachhung,Unknown,6338,Unclimbed,,Unknown,Unknown,Api/Byas Risi/Guras,Far West-Kanjiroba,,
398,GYLA,Gyala,Unknown,6363,Unclimbed,,Unknown,Unknown,Manaslu/Mansiri,Manaslu-Ganesh,27.37904615,89.93381399007805
399,DOLM,Dolma Khang,Tseringma,6332,Climbed,1980.0,"Australia, Nepal",DOLM80101,Rolwaling,Khumbu-Rolwaling-Makalu,,
400,KAIP,Kaipuchonam,Unknown,6329,Unclimbed,,Unknown,Unknown,Kanti/Palchung,Far West-Kanjiroba,,
401,LDNG,Langdung,Ripumutse,6326,Climbed,2017.0,Nepal,LDNG17401,Rolwaling,Khumbu-Rolwaling-Makalu,27.9483125,86.4805877
402,DZA2,Dzanye II,Unknown,6318,Climbed,2015.0,Japan,DZA215301,Janak/Ohmi Kangri,Kangchenjunga-Janak,,
403,PAMA,Pama Himal,Unknown,6300,Unclimbed,,Unknown,Unknown,Ganesh/Shringi,Manaslu-Ganesh,,
404,PERH,Peri Himal,Unknown,6296,Unclimbed,,Unknown,Unknown,Peri,Annapurna-Damodar-Peri,28.742675300000002,84.43637946068736
405,TAKL,Takla Kang,Takla Khang,6276,Unclimbed,,Unknown,Unknown,Kanti/Palchung,Far West-Kanjiroba,,
406,KOGI,Kogi Khang North,Kogi Kang North,6275,Unclimbed,,Unknown,Unknown,Kanti/Palchung,Far West-Kanjiroba,,
407,ASAJ,Asajya Tuppa,Unknown,6265,Unclimbed,,Unknown,Unknown,Nalakankar/Chandi/Changla,Far West-Kanjiroba,30.062506,82.278339
408,KOJS,Kojichuwa South,Unknown,6264,Unclimbed,,Unknown,Unknown,Kanti/Palchung,Far West-Kanjiroba,,
409,PKAR,Pankar Himal,Unknown,6264,Climbed,2018.0,Japan,PKAR18101,Manaslu/Mansiri,Manaslu-Ganesh,,
410,SAUL,Saula,Unknown,6235,Unclimbed,,Unknown,Unknown,Manaslu/Mansiri,Manaslu-Ganesh,59.215722799999995,25.035680616708433
411,YARA,Yala Chuli,Yara Chuli,6236,Unclimbed,,Unknown,Unknown,Kanti/Palchung,Far West-Kanjiroba,,
412,RHIM,Rhimbu,Unknown,6210,Unclimbed,,Unknown,Unknown,Ganesh/Shringi,Manaslu-Ganesh,,
413,SANC,Sanctuary Peak,Unknown,6207,Unclimbed,,Unknown,Unknown,Kanjiroba,Far West-Kanjiroba,-34.2617,18.8783
414,LASA,Lasa,Unknown,6189,Unclimbed,,Unknown,Unknown,Api/Byas Risi/Guras,Far West-Kanjiroba,43.1571441,-1.2601799
415,PERI,Peri,Unknown,6174,Climbed,2016.0,"Italy, Nepal",PERI16301,Langtang,Langtang-Jugal,42.0049775,8.920963
416,DWIJ,Dwijen Himal,Unknown,6169,Unclimbed,,Unknown,Unknown,Ganesh/Shringi,Manaslu-Ganesh,,
417,JABR,Jabou Ri,Unknown,6166,Climbed,2015.0,USA,JABR15301,Rolwaling,Khumbu-Rolwaling-Makalu,,
418,BEDG,Beding Go,Bedding Go,6125,Climbed,2015.0,"Nepal, Canada, Brazil, Ireland",BEDG15301,Rolwaling,Khumbu-Rolwaling-Makalu,,
419,TAKN,Takphu North,Unknown,6142,Climbed,2016.0,"Germany, Nepal",TAKN16301,Nalakankar/Chandi/Changla,Far West-Kanjiroba,,
420,BHUL,Bhulu Lhasa,Unknown,6102,Climbed,1964.0,"UK, Nepal",BHUL64301,Kanjiroba,Far West-Kanjiroba,,
421,LNAK,Lhonak,Rifil Peak,6070,Unclimbed,,Unknown,Unknown,Janak/Ohmi Kangri,Kangchenjunga-Janak,27.7900712,88.0356137
422,ROLM,Rolmi,Unknown,6056,Climbed,2017.0,Nepal,ROLM17301,Ganesh/Shringi,Manaslu-Ganesh,,
423,ACHN,Aichyn,"Aychin, Ashvin",6055,Climbed,2015.0,Japan,ACHN15301,Nalakankar/Chandi/Changla,Far West-Kanjiroba,,
424,ARDN,Ardang,Unknown,6034,Unclimbed,,Unknown,Unknown,Nalakankar/Chandi/Changla,Far West-Kanjiroba,,
425,LUNG,Lungchhung,Unknown,6043,Unclimbed,,Unknown,Unknown,Kanti/Palchung,Far West-Kanjiroba,27.126028650000002,87.22887648758756
426,KHNG,Khung,Unknown,6024,Unclimbed,,Unknown,Unknown,Kanti/Palchung,Far West-Kanjiroba,28.3662577,82.742017
427,CHND,Chandi Himal,Unknown,6142,Unclimbed,,Unknown,Unknown,Nalakankar/Chandi/Changla,Far West-Kanjiroba,,
428,KALI,Kali Himal,"Chota Ri, Baruntse North",6985,Climbed,1983.0,Netherlands,KALI83101,Khumbu,Khumbu-Rolwaling-Makalu,27.8778307,86.9735934
429,DHEC,Dhechyan Khang,Unknown,6019,Climbed,2018.0,"Austria, Germany, Nepal",DHEC18101,Damodar,Annapurna-Damodar-Peri,,
430,EKRA,Ek Rate Danda,Unknown,6213,Unclimbed,,Unknown,Unknown,Khumbu,Khumbu-Rolwaling-Makalu,,
